,ids,pvalue_less,pvalue_greater
0,346,0.0001,1.0
1,398,1.0,1.0
2,451,1.0,1.0
3,480,0.0001,1.0
4,488,1.0,1.0
5,490,1.0,1.0
6,526,1.0,0.246
7,537,1.0,0.4952
8,540,1.0,1.0
9,602,0.0001,1.0
10,616,1.0,1.0
11,666,1.0,1.0
12,682,0.8149,0.2636
13,683,0.9116,0.3727
14,685,1.0,1.0
15,688,1.0,0.0001
16,690,1.0,0.0001
17,691,1.0,0.0001
18,692,0.0001,1.0
19,693,1.0,1.0
20,694,1.0,1.0
21,696,1.0,1.0
22,697,1.0,1.0
23,698,1.0,0.2395
24,699,1.0,1.0
25,700,1.0,1.0
26,701,0.0001,1.0
27,702,1.0,1.0
28,703,0.0001,1.0
29,704,0.2397,0.8054
30,705,1.0,0.0001
31,706,0.99,0.016
32,707,1.0,1.0
33,708,0.0001,1.0
34,709,1.0,1.0
35,710,1.0,0.0004
36,711,0.9308,0.1651
37,712,1.0,1.0
38,713,0.4829,1.0
39,714,0.0051,0.998
40,715,1.0,0.0001
41,716,1.0,1.0
42,717,0.0001,1.0
43,718,0.2489,1.0
44,719,1.0,0.0001
45,720,1.0,1.0
46,721,0.497,1.0
47,722,0.0001,1.0
48,723,1.0,1.0
49,724,1.0,1.0
50,725,1.0,1.0
51,726,1.0,1.0
52,727,1.0,1.0
53,728,0.0001,1.0
54,729,1.0,1.0
55,730,1.0,1.0
56,731,1.0,1.0
57,732,1.0,1.0
58,733,0.4832,1.0
59,734,1.0,1.0
60,735,1.0,1.0
61,736,1.0,1.0
62,737,1.0,1.0
63,738,1.0,0.0015
64,739,0.0001,1.0
65,740,0.0001,1.0
66,741,0.0001,1.0
67,742,0.0145,1.0
68,743,1.0,0.0001
69,744,0.4827,1.0
70,745,0.344,0.8603
71,747,0.0001,1.0
72,748,0.0001,1.0
73,749,1.0,1.0
74,750,0.8892,0.4749
75,751,0.0001,1.0
76,752,1.0,1.0
77,753,1.0,1.0
78,754,1.0,1.0
79,755,0.0001,1.0
80,756,0.9789,0.0565
81,757,1.0,1.0
82,758,0.0001,1.0
83,759,1.0,1.0
84,760,1.0,1.0
85,761,1.0,1.0
86,762,1.0,1.0
87,763,0.7876,0.4855
88,764,1.0,0.0311
89,765,0.0001,1.0
90,766,1.0,0.0001
91,767,1.0,1.0
92,768,0.9963,0.0313
93,769,0.0001,1.0
94,770,0.0001,1.0
95,771,1.0,0.2592
96,772,1.0,1.0
97,773,1.0,1.0
98,774,1.0,0.0001
99,775,1.0,1.0
100,776,1.0,0.0001
101,777,1.0,1.0
102,778,1.0,1.0
103,779,1.0,1.0
104,780,1.0,1.0
105,781,1.0,1.0
106,782,1.0,0.0001
107,783,0.0269,0.9852
108,784,1.0,1.0
109,785,1.0,1.0
110,786,1.0,1.0
111,787,1.0,0.0001
112,788,1.0,0.0001
113,789,1.0,1.0
114,790,1.0,1.0
115,791,1.0,1.0
116,792,1.0,1.0
117,793,1.0,0.0001
118,794,1.0,0.0001
119,795,1.0,1.0
120,796,1.0,0.0001
121,797,0.9995,0.0015
122,798,1.0,1.0
