,id,class
0,346,0
1,398,1
2,451,1
3,480,0
4,488,1
5,490,1
6,526,1
7,537,1
8,540,1
9,602,0
10,616,1
11,666,1
12,682,1
13,683,1
14,685,1
15,688,2
16,690,2
17,691,2
18,692,0
19,693,1
20,694,1
21,696,1
22,697,1
23,698,1
24,699,1
25,700,1
26,701,0
27,702,1
28,703,0
29,704,1
30,705,2
31,706,2
32,707,1
33,708,0
34,709,1
35,710,2
36,711,1
37,712,1
38,713,1
39,714,0
40,715,2
41,716,1
42,717,0
43,718,1
44,719,2
45,720,1
46,721,1
47,722,0
48,723,1
49,724,1
50,725,1
51,726,1
52,727,1
53,728,0
54,729,1
55,730,1
56,731,1
57,732,1
58,733,1
59,734,1
60,735,1
61,736,1
62,737,1
63,738,2
64,739,0
65,740,0
66,741,0
67,742,0
68,743,2
69,744,1
70,745,1
71,747,0
72,748,0
73,749,1
74,750,1
75,751,0
76,752,1
77,753,1
78,754,1
79,755,0
80,756,1
81,757,1
82,758,0
83,759,1
84,760,1
85,761,1
86,762,1
87,763,1
88,764,2
89,765,0
90,766,2
91,767,1
92,768,2
93,769,0
94,770,0
95,771,1
96,772,1
97,773,1
98,774,2
99,775,1
100,776,2
101,777,1
102,778,1
103,779,1
104,780,1
105,781,1
106,782,2
107,783,0
108,784,1
109,785,1
110,786,1
111,787,2
112,788,2
113,789,1
114,790,1
115,791,1
116,792,1
117,793,2
118,794,2
119,795,1
120,796,2
121,797,2
122,798,1
123,799,2
124,800,2
125,801,2
126,802,1
127,804,0
128,811,1
129,814,1
130,829,1
131,830,1
132,832,1
133,861,1
134,870,1
135,872,2
136,877,1
137,879,0
138,882,1
139,888,0
140,897,1
141,898,1
142,906,2
143,937,1
144,962,0
145,976,1
146,977,1
147,978,1
148,984,2
149,993,1
150,995,0
151,1004,1
152,1011,1
153,1012,2
154,1018,0
155,1033,2
156,1045,1
157,1046,0
158,1071,1
159,1089,1
160,1091,1
161,1092,1
162,1093,1
163,1094,1
164,1095,1
165,1096,1
166,1098,1
167,1099,1
168,1100,1
169,1101,1
170,1102,1
171,1103,1
172,1104,1
173,1105,1
174,1106,1
175,1107,1
176,1108,1
177,1109,1
178,1112,2
179,1113,0
180,1114,1
181,1117,2
182,1118,1
183,1119,0
184,1120,1
185,1121,2
186,1122,2
187,1123,2
188,1124,1
189,1125,2
190,1126,2
191,1127,1
192,1128,1
193,1129,1
194,1130,1
195,1131,1
196,1132,1
197,1133,0
198,1134,1
199,1135,1
200,1136,2
201,1137,1
202,1138,1
203,1139,1
204,1140,0
205,1141,1
206,1142,1
207,1143,1
208,1144,1
209,1145,1
210,1146,0
211,1147,1
212,1148,2
213,1149,0
214,1150,0
215,1151,1
216,1152,1
217,1153,1
218,1154,2
219,1155,0
220,1156,2
221,1157,0
222,1158,1
223,1159,1
224,1160,1
225,1161,1
226,1162,1
227,1163,1
228,1164,1
229,1165,1
230,1166,2
231,1167,1
232,1168,2
233,1170,2
234,1171,1
235,1172,2
236,1173,2
237,1174,1
238,1175,1
239,1176,1
240,1177,1
241,1178,2
242,1179,1
243,1180,0
244,1181,1
245,1182,1
246,1183,1
247,1184,0
248,1185,0
249,1186,1
250,1187,2
251,1189,0
252,1190,1
253,1191,1
254,1192,1
255,1193,2
256,1194,1
257,1195,1
258,1196,1
259,1197,1
260,1198,2
261,1199,1
262,1200,1
263,1201,1
264,1202,0
265,1203,1
266,1204,2
267,1205,2
268,1206,2
269,1207,1
270,1208,2
271,1209,1
272,1210,2
273,1211,2
274,1212,1
275,1213,1
276,1214,1
277,1215,0
278,1216,0
279,1217,1
280,1218,1
281,1219,1
282,1220,1
283,1221,1
284,1222,1
285,1223,2
286,1224,2
287,1225,0
288,1226,1
289,1227,1
290,1228,1
291,1229,0
292,1230,2
293,1231,1
294,1232,1
295,1233,1
296,1234,1
297,1235,0
298,1236,2
299,1237,1
300,1238,0
301,1239,0
302,1240,0
303,1241,1
304,1242,1
305,1243,1
306,1244,1
307,1245,1
308,1246,1
309,1247,1
310,1248,2
311,1249,1
312,1250,1
313,1251,1
314,1252,1
315,1253,1
316,1254,1
317,1255,1
318,1256,1
319,1257,2
320,1258,2
321,1259,1
322,1260,2
323,1261,2
324,1262,1
325,1263,0
326,1264,1
327,1265,2
328,1266,0
329,1267,1
330,1268,0
331,1269,1
332,1270,1
333,1271,1
334,1272,0
335,1273,1
336,1274,1
337,1275,1
338,1276,1
339,1277,1
340,1278,1
341,1279,1
342,1280,1
343,1281,2
344,1282,2
345,1283,1
346,1284,1
347,1285,1
348,1286,2
349,1287,1
350,1288,2
351,1289,1
352,1290,2
353,1291,1
354,1292,1
355,1293,2
356,1294,1
357,1295,1
358,1296,1
359,1297,1
360,1298,1
361,1299,1
362,1300,1
363,1301,0
364,1302,1
365,1303,1
366,1304,1
367,1305,0
368,1306,0
369,1307,2
370,1308,1
371,1309,1
372,1310,1
373,1311,1
374,1312,1
375,1313,1
376,1314,1
377,1315,0
378,1316,1
379,1317,1
380,1318,1
381,1319,2
382,1320,1
383,1321,1
384,1322,2
385,1323,1
386,1324,0
387,1325,0
388,1327,0
389,1328,1
390,1329,0
391,1330,0
392,1707,0
393,1833,1
394,1874,2
395,1875,1
