id,class
346,0
398,1
451,1
480,0
488,1
490,1
526,1
537,1
540,1
602,0
616,1
666,1
682,1
683,1
685,1
688,2
690,2
691,2
692,0
693,1
694,1
696,1
697,1
698,1
699,1
700,1
701,0
702,1
703,0
704,1
705,2
706,2
707,1
708,0
709,1
710,2
711,1
712,1
713,1
714,0
715,2
716,1
717,0
718,1
719,2
720,1
721,1
722,0
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,2
739,0
740,0
741,0
742,0
743,2
744,1
745,1
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,2
765,0
766,2
767,1
768,2
769,0
770,0
771,1
772,1
773,1
774,2
775,1
776,2
777,1
778,1
779,1
780,1
781,1
782,2
783,0
784,1
785,1
786,1
787,2
788,2
789,1
790,1
791,1
792,1
793,2
794,2
795,1
796,2
797,2
798,1
799,2
800,2
801,2
802,1
804,0
811,1
814,1
829,1
830,1
832,1
861,1
870,1
872,2
877,1
879,0
882,1
888,0
897,1
898,1
906,2
937,1
962,0
976,1
977,1
978,1
984,2
993,1
995,0
1004,1
1011,1
1012,2
1018,0
1033,2
1045,1
1046,0
1071,1
1089,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1112,2
1113,0
1114,1
1117,2
1118,1
1119,0
1120,1
1121,2
1122,2
1123,2
1124,1
1125,2
1126,2
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,0
1134,1
1135,1
1136,2
1137,1
1138,1
1139,1
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,0
1147,1
1148,2
1149,0
1150,0
1151,1
1152,1
1153,1
1154,2
1155,0
1156,2
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,2
1167,1
1168,2
1170,2
1171,1
1172,2
1173,2
1174,1
1175,1
1176,1
1177,1
1178,2
1179,1
1180,0
1181,1
1182,1
1183,1
1184,0
1185,0
1186,1
1187,2
1189,0
1190,1
1191,1
1192,1
1193,2
1194,1
1195,1
1196,1
1197,1
1198,2
1199,1
1200,1
1201,1
1202,0
1203,1
1204,2
1205,2
1206,2
1207,1
1208,2
1209,1
1210,2
1211,2
1212,1
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,2
1224,2
1225,0
1226,1
1227,1
1228,1
1229,0
1230,2
1231,1
1232,1
1233,1
1234,1
1235,0
1236,2
1237,1
1238,0
1239,0
1240,0
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,2
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,2
1258,2
1259,1
1260,2
1261,2
1262,1
1263,0
1264,1
1265,2
1266,0
1267,1
1268,0
1269,1
1270,1
1271,1
1272,0
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,2
1282,2
1283,1
1284,1
1285,1
1286,2
1287,1
1288,2
1289,1
1290,2
1291,1
1292,1
1293,2
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,1
1305,0
1306,0
1307,2
1308,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,0
1316,1
1317,1
1318,1
1319,2
1320,1
1321,1
1322,2
1323,1
1324,0
1325,0
1327,0
1328,1
1329,0
1330,0
1707,0
1833,1
1874,2
1875,1
1912,1
1921,1
1930,1
1938,1
1940,1
1944,1
1956,1
1958,1
1965,1
1978,1
1980,1
1984,2
1985,1
1991,1
1993,0
1995,0
1996,1
1997,1
1998,0
1999,1
2000,2
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,0
2008,1
2009,0
2010,2
2011,1
2012,2
2013,1
2014,1
2015,2
2016,0
2017,2
2018,1
2019,2
2020,2
2021,0
2022,1
2023,2
2024,1
2025,0
2026,1
2027,1
2028,1
2029,0
2030,1
2031,1
2032,0
2033,1
2034,0
2035,1
2036,2
2037,2
2038,2
2039,1
2041,0
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,0
2049,2
2050,0
2051,1
2052,1
2053,2
2054,0
2055,1
2056,1
2057,0
2058,1
2059,1
2060,1
2061,0
2062,1
2063,2
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,1
2073,1
2074,0
2075,1
2076,2
2078,1
2079,1
2080,1
2081,0
2082,1
2083,0
2084,2
2085,1
2086,1
2087,1
2088,1
2089,2
2090,1
2091,1
2092,1
2093,1
2095,0
2096,0
2097,0
2098,1
2099,1
2100,1
2101,0
2102,0
2103,0
