ids,pvalue_less,pvalue_greater
346,1.0,0.000999000999000999
398,1.0,1.0
451,1.0,0.000999000999000999
480,0.000999000999000999,1.0
488,0.5094905094905094,1.0
490,1.0,1.0
526,1.0,1.0
537,1.0,1.0
540,1.0,1.0
602,1.0,1.0
616,1.0,1.0
666,1.0,0.000999000999000999
682,1.0,1.0
683,0.5134865134865135,1.0
685,0.2677322677322677,1.0
688,1.0,0.000999000999000999
690,1.0,1.0
691,1.0,1.0
692,1.0,1.0
693,1.0,1.0
694,1.0,1.0
696,1.0,1.0
697,0.000999000999000999,1.0
698,0.001998001998001998,1.0
699,1.0,1.0
700,0.11988011988011989,1.0
701,0.000999000999000999,1.0
702,1.0,1.0
703,0.000999000999000999,1.0
704,0.5094905094905094,1.0
705,1.0,1.0
706,1.0,1.0
707,0.24475524475524477,1.0
708,1.0,1.0
709,0.23076923076923078,1.0
710,0.061938061938061936,1.0
711,0.03996003996003996,1.0
712,1.0,0.5014985014985015
713,1.0,1.0
714,0.002997002997002997,1.0
715,1.0,1.0
716,0.000999000999000999,1.0
717,1.0,1.0
718,1.0,1.0
719,0.07592407592407592,1.0
720,1.0,1.0
721,1.0,1.0
722,1.0,1.0
723,0.000999000999000999,1.0
724,0.47352647352647353,1.0
725,1.0,1.0
726,0.000999000999000999,1.0
727,1.0,1.0
728,0.000999000999000999,1.0
729,1.0,1.0
730,1.0,1.0
731,1.0,1.0
732,0.46353646353646355,1.0
733,0.2047952047952048,0.926073926073926
734,0.014985014985014986,1.0
735,1.0,1.0
736,1.0,1.0
737,0.001998001998001998,1.0
738,0.000999000999000999,1.0
739,0.015984015984015984,1.0
740,1.0,0.4975024975024975
741,1.0,1.0
742,0.991008991008991,0.04295704295704296
743,1.0,1.0
744,0.000999000999000999,1.0
745,0.995004995004995,0.04495504495504495
747,1.0,1.0
748,1.0,1.0
749,0.004995004995004995,1.0
750,0.21878121878121878,1.0
751,1.0,1.0
752,1.0,1.0
753,0.02197802197802198,1.0
754,0.2807192807192807,1.0
755,0.27172827172827174,1.0
756,1.0,1.0
757,0.5164835164835165,1.0
758,0.6903096903096904,0.3936063936063936
759,1.0,1.0
760,1.0,1.0
761,0.5094905094905094,1.0
762,1.0,1.0
763,1.0,1.0
764,1.0,1.0
765,1.0,1.0
766,1.0,1.0
767,0.000999000999000999,1.0
768,1.0,1.0
769,0.000999000999000999,1.0
770,0.000999000999000999,1.0
771,0.5374625374625375,1.0
772,1.0,1.0
773,1.0,1.0
774,0.06693306693306693,1.0
775,1.0,1.0
776,0.000999000999000999,1.0
777,1.0,1.0
778,0.000999000999000999,1.0
779,1.0,1.0
780,0.5034965034965035,1.0
781,0.12187812187812187,1.0
782,0.000999000999000999,1.0
783,1.0,1.0
784,0.000999000999000999,1.0
785,1.0,1.0
786,0.000999000999000999,1.0
787,1.0,1.0
788,0.000999000999000999,1.0
789,0.000999000999000999,1.0
790,0.000999000999000999,1.0
791,1.0,1.0
792,1.0,1.0
793,0.06993006993006994,1.0
794,0.24075924075924077,1.0
795,0.000999000999000999,1.0
796,0.000999000999000999,1.0
797,0.01098901098901099,1.0
798,0.001998001998001998,1.0
799,1.0,1.0
800,1.0,1.0
801,1.0,1.0
802,1.0,1.0
804,1.0,1.0
811,1.0,1.0
814,1.0,1.0
829,1.0,1.0
830,0.989010989010989,0.015984015984015984
832,1.0,0.000999000999000999
861,0.000999000999000999,1.0
870,1.0,1.0
872,0.5014985014985015,1.0
877,0.022977022977022976,1.0
879,0.000999000999000999,1.0
882,1.0,1.0
888,0.24875124875124874,1.0
897,1.0,1.0
898,1.0,1.0
906,0.000999000999000999,1.0
937,1.0,1.0
962,1.0,0.000999000999000999
976,1.0,1.0
977,1.0,1.0
978,0.000999000999000999,1.0
984,0.5754245754245755,1.0
993,0.09090909090909091,1.0
995,0.000999000999000999,1.0
1004,1.0,1.0
1011,1.0,1.0
1012,0.000999000999000999,1.0
1018,1.0,0.000999000999000999
1033,0.000999000999000999,1.0
1045,0.10589410589410589,1.0
1046,1.0,1.0
1071,1.0,1.0
1089,0.000999000999000999,1.0
1091,0.26973026973026976,1.0
1092,1.0,1.0
1093,0.003996003996003996,1.0
1094,1.0,1.0
1095,0.000999000999000999,1.0
1096,1.0,1.0
1098,0.12487512487512488,1.0
1099,1.0,1.0
1100,0.000999000999000999,1.0
1101,1.0,1.0
1102,1.0,1.0
1103,0.21678321678321677,1.0
1104,1.0,1.0
1105,0.004995004995004995,1.0
1106,0.5074925074925075,1.0
1107,0.000999000999000999,1.0
1108,1.0,0.000999000999000999
1109,0.015984015984015984,1.0
1112,0.02097902097902098,1.0
1113,0.000999000999000999,1.0
1114,1.0,1.0
1117,1.0,0.000999000999000999
1118,0.5274725274725275,1.0
1119,0.000999000999000999,1.0
1120,0.000999000999000999,1.0
1121,1.0,1.0
1122,1.0,1.0
1123,1.0,1.0
1124,1.0,1.0
1125,1.0,1.0
1126,0.11888111888111888,1.0
1127,1.0,1.0
1128,1.0,1.0
1129,1.0,1.0
1130,1.0,1.0
1131,0.000999000999000999,1.0
1132,1.0,1.0
1133,0.5244755244755245,1.0
1134,0.000999000999000999,1.0
1135,0.47352647352647353,1.0
1136,1.0,1.0
1137,1.0,1.0
1138,1.0,1.0
1139,1.0,1.0
1140,1.0,1.0
1141,0.000999000999000999,1.0
1142,0.12987012987012986,1.0
1143,1.0,1.0
1144,0.000999000999000999,1.0
1145,0.06293706293706294,1.0
1146,0.000999000999000999,1.0
1147,1.0,1.0
1148,1.0,1.0
1149,1.0,1.0
1150,1.0,1.0
1151,1.0,1.0
1152,0.000999000999000999,1.0
1153,1.0,1.0
1154,1.0,1.0
1155,0.000999000999000999,1.0
1156,1.0,1.0
1157,0.000999000999000999,1.0
1158,0.5184815184815185,1.0
1159,0.002997002997002997,1.0
1160,0.5224775224775224,1.0
1161,0.000999000999000999,1.0
1162,0.03896103896103896,1.0
1163,0.000999000999000999,1.0
1164,0.03496503496503497,1.0
1165,1.0,1.0
1166,1.0,1.0
1167,1.0,1.0
1168,0.4955044955044955,1.0
1170,1.0,1.0
1171,1.0,1.0
1172,1.0,1.0
1173,0.0969030969030969,1.0
1174,1.0,1.0
1175,1.0,1.0
1176,0.4995004995004995,1.0
1177,1.0,1.0
1178,1.0,1.0
1179,0.8211788211788211,0.4275724275724276
1180,0.4875124875124875,1.0
1181,1.0,1.0
1182,1.0,0.000999000999000999
1183,1.0,1.0
1184,1.0,1.0
1185,1.0,1.0
1186,0.5044955044955045,1.0
1187,1.0,1.0
1189,0.000999000999000999,1.0
1190,1.0,0.000999000999000999
1191,1.0,1.0
1192,1.0,1.0
1193,0.5004995004995005,1.0
1194,1.0,1.0
1195,0.4825174825174825,1.0
1196,0.48951048951048953,1.0
1197,1.0,1.0
1198,1.0,1.0
1199,0.27972027972027974,1.0
1200,1.0,1.0
1201,0.03396603396603397,1.0
1202,1.0,1.0
1203,0.994005994005994,0.024975024975024976
1204,0.01098901098901099,1.0
1205,1.0,1.0
1206,0.27972027972027974,1.0
1207,0.4985014985014985,1.0
1208,0.000999000999000999,1.0
1209,0.000999000999000999,1.0
1210,0.5024975024975025,1.0
1211,0.001998001998001998,1.0
1212,1.0,1.0
1213,1.0,1.0
1214,0.12287712287712288,1.0
1215,0.1258741258741259,1.0
1216,0.000999000999000999,1.0
1217,0.5224775224775224,1.0
1218,0.5194805194805194,1.0
1219,1.0,1.0
1220,0.000999000999000999,1.0
1221,0.5004995004995005,1.0
1222,0.000999000999000999,1.0
1223,1.0,1.0
1224,0.003996003996003996,1.0
1225,0.05094905094905095,1.0
1226,0.12387612387612387,1.0
1227,1.0,1.0
1228,1.0,1.0
1229,1.0,1.0
1230,0.000999000999000999,1.0
1231,0.26373626373626374,1.0
1232,0.000999000999000999,1.0
1233,0.000999000999000999,1.0
1234,1.0,1.0
1235,1.0,1.0
1236,0.4805194805194805,1.0
1237,0.000999000999000999,1.0
1238,1.0,1.0
1239,1.0,1.0
1240,0.000999000999000999,1.0
1241,0.26173826173826176,1.0
1242,1.0,1.0
1243,0.5034965034965035,1.0
1244,0.000999000999000999,1.0
1245,0.06893106893106893,1.0
1246,0.13786213786213786,1.0
1247,0.000999000999000999,1.0
1248,0.04695304695304695,1.0
1249,1.0,1.0
1250,1.0,1.0
1251,1.0,1.0
1252,0.000999000999000999,1.0
1253,1.0,1.0
1254,0.000999000999000999,1.0
1255,0.23976023976023977,0.8981018981018981
1256,0.1088911088911089,1.0
1257,0.2077922077922078,1.0
1258,1.0,1.0
1259,0.01098901098901099,1.0
1260,0.022977022977022976,1.0
1261,0.001998001998001998,1.0
1262,0.000999000999000999,1.0
1263,1.0,1.0
1264,0.000999000999000999,1.0
1265,0.000999000999000999,1.0
1266,1.0,1.0
1267,1.0,1.0
1268,0.000999000999000999,1.0
1269,1.0,1.0
1270,0.4945054945054945,1.0
1271,0.26373626373626374,1.0
1272,1.0,1.0
1273,1.0,1.0
1274,0.000999000999000999,1.0
1275,1.0,1.0
1276,0.000999000999000999,1.0
1277,0.000999000999000999,1.0
1278,1.0,1.0
1279,1.0,1.0
1280,1.0,1.0
1281,1.0,1.0
1282,1.0,1.0
1283,1.0,1.0
1284,1.0,1.0
1285,0.938061938061938,0.27472527472527475
1286,0.26373626373626374,1.0
1287,0.000999000999000999,1.0
1288,1.0,1.0
1289,0.5134865134865135,1.0
1290,0.977022977022977,0.03196803196803197
1291,1.0,1.0
1292,1.0,1.0
1293,1.0,1.0
1294,0.001998001998001998,1.0
1295,0.000999000999000999,1.0
1296,0.45854145854145856,1.0
1297,0.27372627372627373,1.0
