ids,pvalue_less,pvalue_greater
346,1.0,1.0
398,1.0,1.0
451,1.0,1.0
480,1.0,1.0
488,1.0,1.0
490,1.0,1.0
526,1.0,1.0
537,1.0,1.0
540,1.0,1.0
602,1.0,1.0
616,1.0,1.0
666,1.0,1.0
682,1.0,1.0
683,1.0,1.0
685,1.0,1.0
688,1.0,1.0
690,1.0,1.0
691,1.0,1.0
692,1.0,1.0
693,1.0,1.0
694,1.0,1.0
696,1.0,1.0
697,1.0,1.0
698,1.0,1.0
699,1.0,1.0
700,1.0,1.0
701,1.0,1.0
702,1.0,1.0
703,1.0,1.0
704,1.0,1.0
705,1.0,1.0
706,1.0,1.0
707,1.0,1.0
708,1.0,1.0
709,1.0,1.0
710,1.0,1.0
711,1.0,1.0
712,1.0,1.0
713,1.0,1.0
714,1.0,1.0
715,1.0,1.0
716,1.0,1.0
717,1.0,1.0
718,1.0,1.0
719,1.0,1.0
720,1.0,1.0
721,1.0,1.0
722,1.0,1.0
723,1.0,1.0
724,1.0,1.0
725,1.0,1.0
726,1.0,1.0
727,1.0,1.0
728,1.0,1.0
729,1.0,1.0
730,1.0,1.0
731,1.0,1.0
732,1.0,1.0
733,1.0,1.0
734,1.0,1.0
735,1.0,1.0
736,1.0,1.0
737,1.0,1.0
738,1.0,1.0
739,1.0,1.0
740,1.0,1.0
741,1.0,1.0
742,1.0,1.0
743,1.0,1.0
744,1.0,1.0
745,1.0,1.0
747,1.0,1.0
748,1.0,1.0
749,1.0,1.0
750,1.0,1.0
751,1.0,1.0
752,1.0,1.0
753,1.0,1.0
754,1.0,1.0
755,1.0,1.0
756,1.0,1.0
757,1.0,1.0
758,1.0,1.0
759,1.0,1.0
760,1.0,1.0
761,1.0,1.0
762,1.0,1.0
763,1.0,1.0
764,1.0,1.0
765,1.0,1.0
766,1.0,1.0
767,1.0,1.0
768,1.0,1.0
769,1.0,1.0
770,1.0,1.0
771,1.0,1.0
772,1.0,1.0
773,1.0,1.0
774,1.0,1.0
775,1.0,1.0
776,1.0,1.0
777,1.0,1.0
778,1.0,1.0
779,1.0,1.0
780,1.0,1.0
781,1.0,1.0
782,1.0,1.0
783,1.0,1.0
784,1.0,1.0
785,1.0,1.0
786,1.0,1.0
787,1.0,1.0
788,1.0,1.0
789,0.000999000999000999,1.0
790,1.0,1.0
791,1.0,1.0
792,1.0,1.0
793,1.0,1.0
794,1.0,1.0
795,1.0,1.0
796,1.0,1.0
797,1.0,1.0
798,1.0,1.0
799,1.0,1.0
800,1.0,1.0
801,1.0,1.0
802,1.0,1.0
804,1.0,1.0
811,1.0,1.0
814,1.0,1.0
829,1.0,1.0
830,1.0,1.0
832,1.0,1.0
861,1.0,1.0
870,1.0,1.0
872,1.0,1.0
877,1.0,1.0
879,1.0,1.0
882,1.0,1.0
888,1.0,1.0
897,1.0,1.0
898,1.0,1.0
906,1.0,1.0
937,1.0,1.0
962,1.0,1.0
976,1.0,1.0
977,1.0,1.0
978,1.0,1.0
984,1.0,1.0
993,1.0,1.0
995,1.0,1.0
1004,1.0,1.0
1011,1.0,1.0
1012,1.0,1.0
1018,1.0,1.0
1033,1.0,1.0
1045,1.0,1.0
1046,1.0,1.0
1071,1.0,1.0
1089,1.0,1.0
1091,1.0,1.0
1092,1.0,1.0
1093,1.0,1.0
1094,1.0,1.0
1095,1.0,1.0
1096,1.0,1.0
1098,1.0,1.0
1099,1.0,1.0
1100,1.0,1.0
1101,1.0,1.0
1102,1.0,1.0
1103,1.0,1.0
1104,1.0,1.0
1105,1.0,1.0
1106,1.0,1.0
1107,1.0,1.0
1108,1.0,1.0
1109,1.0,1.0
1112,1.0,1.0
1113,1.0,1.0
1114,1.0,1.0
1117,1.0,1.0
1118,1.0,1.0
1119,1.0,1.0
1120,1.0,1.0
1121,1.0,1.0
1122,1.0,1.0
1123,1.0,1.0
1124,1.0,1.0
1125,1.0,1.0
1126,1.0,1.0
1127,1.0,1.0
1128,1.0,1.0
1129,1.0,1.0
1130,1.0,1.0
1131,1.0,1.0
1132,1.0,1.0
1133,1.0,1.0
1134,1.0,1.0
1135,1.0,0.4865134865134865
1136,1.0,1.0
1137,1.0,1.0
1138,1.0,1.0
1139,1.0,1.0
1140,1.0,1.0
1141,1.0,1.0
1142,1.0,1.0
1143,1.0,1.0
1144,1.0,1.0
1145,1.0,1.0
1146,1.0,1.0
1147,1.0,1.0
1148,1.0,1.0
1149,1.0,1.0
1150,1.0,1.0
1151,1.0,1.0
1152,1.0,1.0
1153,1.0,1.0
1154,1.0,1.0
1155,1.0,1.0
1156,1.0,1.0
1157,1.0,1.0
1158,1.0,1.0
1159,1.0,1.0
1160,1.0,1.0
1161,1.0,1.0
1162,1.0,1.0
1163,1.0,1.0
1164,1.0,1.0
1165,1.0,1.0
1166,1.0,1.0
1167,1.0,1.0
1168,1.0,1.0
1170,1.0,1.0
1171,1.0,1.0
1172,1.0,1.0
1173,1.0,1.0
1174,1.0,1.0
1175,1.0,1.0
1176,1.0,1.0
1177,1.0,1.0
1178,1.0,1.0
1179,1.0,1.0
1180,1.0,1.0
1181,1.0,1.0
1182,1.0,1.0
1183,1.0,1.0
1184,1.0,1.0
1185,1.0,1.0
1186,1.0,1.0
1187,1.0,1.0
1189,1.0,1.0
1190,1.0,1.0
1191,1.0,1.0
1192,1.0,1.0
1193,1.0,1.0
1194,1.0,1.0
1195,1.0,1.0
1196,1.0,1.0
1197,1.0,1.0
1198,1.0,1.0
1199,1.0,1.0
1200,1.0,1.0
1201,1.0,1.0
1202,1.0,1.0
1203,1.0,1.0
1204,1.0,1.0
1205,1.0,1.0
1206,1.0,1.0
1207,1.0,1.0
1208,1.0,1.0
1209,1.0,1.0
1210,1.0,1.0
1211,1.0,1.0
1212,1.0,1.0
1213,1.0,1.0
1214,1.0,1.0
1215,1.0,1.0
1216,1.0,1.0
1217,1.0,1.0
1218,1.0,1.0
1219,1.0,1.0
1220,1.0,1.0
1221,1.0,1.0
1222,1.0,1.0
1223,1.0,1.0
1224,1.0,1.0
1225,1.0,1.0
1226,1.0,1.0
1227,1.0,1.0
1228,1.0,1.0
1229,1.0,1.0
1230,1.0,1.0
1231,1.0,1.0
1232,1.0,1.0
1233,0.000999000999000999,1.0
1234,1.0,1.0
1235,1.0,1.0
1236,1.0,1.0
1237,1.0,1.0
1238,1.0,1.0
1239,1.0,1.0
1240,1.0,1.0
1241,1.0,1.0
1242,1.0,1.0
1243,1.0,1.0
1244,1.0,1.0
1245,1.0,1.0
1246,1.0,1.0
1247,1.0,1.0
1248,1.0,1.0
1249,1.0,1.0
1250,1.0,1.0
1251,1.0,1.0
1252,1.0,1.0
1253,1.0,1.0
1254,1.0,1.0
1255,1.0,1.0
1256,1.0,1.0
1257,1.0,1.0
1258,1.0,1.0
1259,1.0,1.0
1260,1.0,1.0
1261,1.0,1.0
1262,1.0,1.0
1263,1.0,1.0
1264,1.0,1.0
1265,1.0,1.0
1266,1.0,1.0
1267,1.0,1.0
1268,1.0,1.0
1269,1.0,1.0
1270,1.0,1.0
1271,1.0,1.0
1272,1.0,1.0
1273,1.0,1.0
1274,1.0,1.0
1275,1.0,1.0
1276,1.0,1.0
1277,1.0,1.0
1278,1.0,1.0
1279,1.0,1.0
1280,1.0,1.0
1281,1.0,1.0
1282,1.0,1.0
1283,1.0,1.0
1284,1.0,1.0
1285,1.0,1.0
1286,1.0,1.0
1287,1.0,1.0
1288,1.0,1.0
1289,1.0,1.0
1290,1.0,1.0
1291,1.0,1.0
1292,1.0,1.0
1293,1.0,1.0
1294,1.0,1.0
1295,1.0,1.0
1296,1.0,1.0
1297,1.0,1.0
1298,1.0,1.0
1299,1.0,1.0
1300,1.0,1.0
1301,1.0,1.0
1302,1.0,1.0
1303,1.0,1.0
1304,1.0,1.0
1305,1.0,1.0
1306,1.0,1.0
1307,1.0,1.0
1308,1.0,1.0
1309,1.0,1.0
1310,1.0,1.0
1311,1.0,1.0
1312,1.0,1.0
1313,1.0,1.0
1314,1.0,1.0
1315,1.0,1.0
1316,1.0,1.0
1317,1.0,1.0
1318,1.0,1.0
1319,1.0,1.0
1320,1.0,1.0
1321,1.0,1.0
1322,1.0,1.0
1323,1.0,1.0
1324,1.0,1.0
1325,1.0,1.0
1327,1.0,1.0
1328,1.0,1.0
1329,1.0,1.0
1330,1.0,1.0
1707,1.0,1.0
1833,1.0,1.0
1874,0.5274725274725275,1.0
1875,1.0,1.0
1912,1.0,1.0
1921,1.0,1.0
1930,1.0,1.0
1938,1.0,1.0
1940,1.0,1.0
1944,1.0,1.0
1956,1.0,1.0
1958,1.0,1.0
1965,1.0,1.0
1978,1.0,1.0
1980,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1991,1.0,1.0
1993,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
