id,pvalue,decission,means,vertex_class
346,1.0,undecided,0.10900473933649289,undecided
398,1.0,undecided,0.0,undecided
451,0.626953125,undecided,0.6113744075829384,undecided
480,1.0,undecided,-0.21800947867298578,undecided
488,1.0,undecided,-0.002369668246445498,undecided
490,1.0,undecided,0.0,undecided
526,1.0,undecided,0.0,undecided
537,1.0,undecided,0.0,undecided
540,1.0,undecided,0.0,undecided
602,1.0,undecided,0.0,undecided
616,1.0,undecided,0.0,undecided
666,1.0,undecided,0.06398104265402844,undecided
682,1.0,undecided,0.0,undecided
683,1.0,undecided,-0.002369668246445498,undecided
685,1.0,undecided,-0.004739336492890996,undecided
688,1.0,undecided,0.18009478672985782,undecided
690,1.0,undecided,0.0,undecided
691,1.0,undecided,0.0,undecided
692,1.0,undecided,0.0,undecided
693,1.0,undecided,0.0,undecided
694,1.0,undecided,0.0,undecided
696,1.0,undecided,0.0,undecided
697,1.0,undecided,-0.07109004739336493,undecided
698,1.0,undecided,-0.016587677725118485,undecided
699,1.0,undecided,0.0,undecided
700,1.0,undecided,-0.0071090047393364926,undecided
701,1.0,undecided,-0.05924170616113744,undecided
702,1.0,undecided,0.0,undecided
703,0.0009765625,decided,-0.02132701421800948,deep
704,1.0,undecided,0.0,undecided
705,1.0,undecided,0.0,undecided
706,1.0,undecided,0.0,undecided
707,1.0,undecided,-0.004739336492890996,undecided
708,1.0,undecided,0.0,undecided
709,1.0,undecided,-0.004739336492890996,undecided
710,0.0009765625,decided,-0.009478672985781991,deep
711,1.0,undecided,-0.011848341232227487,undecided
712,1.0,undecided,0.002369668246445498,undecided
713,1.0,undecided,0.0,undecided
714,1.0,undecided,-0.014218009478672985,undecided
715,1.0,undecided,0.0,undecided
716,1.0,undecided,-0.07582938388625593,undecided
717,1.0,undecided,0.0,undecided
718,1.0,undecided,0.0,undecided
719,1.0,undecided,-0.002369668246445498,undecided
720,1.0,undecided,0.0,undecided
721,1.0,undecided,0.0,undecided
722,1.0,undecided,0.0,undecided
723,0.0009765625,decided,-0.31990521327014215,deep
724,1.0,undecided,-0.002369668246445498,undecided
725,1.0,undecided,0.0,undecided
726,0.251953125,undecided,-0.6919431279620853,undecided
727,1.0,undecided,0.0,undecided
728,1.0,undecided,-0.03317535545023697,undecided
729,1.0,undecided,0.0,undecided
730,1.0,undecided,0.0,undecided
731,1.0,undecided,0.0,undecided
732,1.0,undecided,-0.002369668246445498,undecided
733,1.0,undecided,-0.0071090047393364926,undecided
734,1.0,undecided,-0.014218009478672985,undecided
735,1.0,undecided,0.0,undecided
736,1.0,undecided,0.0,undecided
737,1.0,undecided,-0.02132701421800948,undecided
738,1.0,undecided,-0.030805687203791468,undecided
739,1.0,undecided,-0.009478672985781991,undecided
740,1.0,undecided,0.002369668246445498,undecided
741,1.0,undecided,0.0,undecided
742,1.0,undecided,0.00947867298578199,undecided
743,1.0,undecided,0.0,undecided
744,1.0,undecided,-0.2132701421800948,undecided
745,1.0,undecided,0.011848341232227487,undecided
747,1.0,undecided,0.0,undecided
748,1.0,undecided,0.0,undecided
749,1.0,undecided,-0.014218009478672985,undecided
750,1.0,undecided,-0.004739336492890996,undecided
751,1.0,undecided,0.0,undecided
752,1.0,undecided,0.0,undecided
753,1.0,undecided,-0.009478672985781991,undecided
754,1.0,undecided,-0.002369668246445498,undecided
755,0.001953125,decided,-0.004739336492890996,deep
756,1.0,undecided,0.0,undecided
757,1.0,undecided,-0.002369668246445498,undecided
758,1.0,undecided,0.009478672985781991,undecided
759,1.0,undecided,0.0,undecided
760,1.0,undecided,0.0,undecided
761,1.0,undecided,-0.002369668246445498,undecided
762,1.0,undecided,0.0,undecided
763,1.0,undecided,0.0,undecided
764,1.0,undecided,0.0,undecided
765,1.0,undecided,0.0,undecided
766,1.0,undecided,0.0,undecided
767,1.0,undecided,-0.07819905213270142,undecided
768,1.0,undecided,0.0,undecided
769,0.0009765625,decided,-0.037914691943127965,deep
770,1.0,undecided,-0.1895734597156398,undecided
771,1.0,undecided,-0.002369668246445498,undecided
772,1.0,undecided,0.0,undecided
773,1.0,undecided,0.0,undecided
774,1.0,undecided,-0.0071090047393364926,undecided
775,1.0,undecided,0.0,undecided
776,0.0009765625,decided,-0.030805687203791468,deep
777,1.0,undecided,0.0,undecided
778,1.0,undecided,-0.018957345971563982,undecided
779,1.0,undecided,0.0,undecided
780,1.0,undecided,-0.002369668246445498,undecided
781,1.0,undecided,-0.0071090047393364926,undecided
782,1.0,undecided,-0.04028436018957346,undecided
783,1.0,undecided,0.0,undecided
784,1.0,undecided,-0.03317535545023697,undecided
785,1.0,undecided,0.0,undecided
786,1.0,undecided,-0.035545023696682464,undecided
787,1.0,undecided,0.0,undecided
788,1.0,undecided,-0.0924170616113744,undecided
789,0.169921875,undecided,-0.26303317535545023,undecided
790,1.0,undecided,-0.037914691943127965,undecided
791,1.0,undecided,0.0,undecided
792,1.0,undecided,0.0,undecided
793,0.0009765625,decided,-0.0071090047393364926,deep
794,1.0,undecided,-0.002369668246445498,undecided
795,1.0,undecided,-0.04976303317535545,undecided
796,1.0,undecided,-0.02843601895734597,undecided
797,1.0,undecided,-0.014218009478672985,undecided
798,1.0,undecided,-0.02843601895734597,undecided
799,1.0,undecided,0.0,undecided
800,1.0,undecided,0.0,undecided
801,1.0,undecided,0.0,undecided
802,1.0,undecided,0.0,undecided
804,1.0,undecided,0.0,undecided
811,1.0,undecided,0.0,undecided
814,1.0,undecided,0.0,undecided
829,1.0,undecided,0.0,undecided
830,0.21484375,undecided,0.02606635071090047,undecided
832,0.0009765625,decided,0.8720379146919431,shallow
861,1.0,undecided,-0.052132701421800945,undecided
870,1.0,undecided,0.0,undecided
872,0.0029296875,decided,-0.002369668246445498,deep
877,1.0,undecided,-0.009478672985781991,undecided
879,1.0,undecided,-0.054502369668246446,undecided
882,1.0,undecided,0.0,undecided
888,1.0,undecided,-0.002369668246445498,undecided
897,1.0,undecided,0.0,undecided
898,1.0,undecided,0.0,undecided
906,1.0,undecided,-0.07109004739336493,undecided
937,1.0,undecided,0.0,undecided
962,1.0,undecided,0.24644549763033174,undecided
976,1.0,undecided,0.0,undecided
977,1.0,undecided,0.0,undecided
978,1.0,undecided,-0.1018957345971564,undecided
984,1.0,undecided,-0.002369668246445498,undecided
993,1.0,undecided,-0.002369668246445498,undecided
995,1.0,undecided,-0.03317535545023697,undecided
1004,1.0,undecided,0.0,undecided
1011,1.0,undecided,0.0,undecided
1012,1.0,undecided,-0.24881516587677724,undecided
1018,1.0,undecided,0.07345971563981044,undecided
1033,1.0,undecided,-0.1895734597156398,undecided
1045,1.0,undecided,-0.004739336492890996,undecided
1046,1.0,undecided,0.0,undecided
1071,1.0,undecided,0.0,undecided
1089,0.0009765625,decided,-0.08056872037914692,deep
1091,1.0,undecided,-0.004739336492890996,undecided
1092,1.0,undecided,0.0,undecided
1093,0.0009765625,decided,-0.014218009478672985,deep
1094,1.0,undecided,0.0,undecided
1095,1.0,undecided,-0.07819905213270142,undecided
1096,1.0,undecided,0.0,undecided
1098,1.0,undecided,-0.0071090047393364926,undecided
1099,1.0,undecided,0.0,undecided
1100,1.0,undecided,-0.07345971563981042,undecided
1101,1.0,undecided,0.0,undecided
1102,1.0,undecided,0.0,undecided
1103,1.0,undecided,-0.004739336492890996,undecided
1104,1.0,undecided,0.0,undecided
1105,1.0,undecided,-0.016587677725118485,undecided
1106,1.0,undecided,-0.002369668246445498,undecided
1107,0.603515625,undecided,-0.5710900473933649,undecided
1108,0.0009765625,decided,0.9976303317535545,shallow
1109,1.0,undecided,-0.014218009478672985,undecided
1112,1.0,undecided,-0.009478672985781991,undecided
1113,1.0,undecided,-0.0947867298578199,undecided
1114,1.0,undecided,0.0,undecided
1117,0.0009765625,decided,0.466824644549763,shallow
1118,1.0,undecided,-0.002369668246445498,undecided
1119,0.0009765625,decided,-0.2037914691943128,deep
1120,1.0,undecided,-0.035545023696682464,undecided
1121,1.0,undecided,0.0,undecided
1122,1.0,undecided,0.0,undecided
1123,1.0,undecided,0.0,undecided
1124,1.0,undecided,0.0,undecided
1125,1.0,undecided,0.0,undecided
1126,1.0,undecided,-0.004739336492890996,undecided
1127,1.0,undecided,0.0,undecided
1128,1.0,undecided,0.0,undecided
1129,1.0,undecided,0.0,undecided
1130,1.0,undecided,0.0,undecided
1131,1.0,undecided,-0.16113744075829384,undecided
1132,1.0,undecided,0.0,undecided
1133,1.0,undecided,-0.002369668246445498,undecided
1134,0.0009765625,decided,-0.24881516587677724,deep
1135,1.0,undecided,0.0,undecided
1136,1.0,undecided,0.0,undecided
1137,1.0,undecided,0.0,undecided
1138,1.0,undecided,0.0,undecided
1139,1.0,undecided,0.0,undecided
1140,1.0,undecided,0.0,undecided
1141,1.0,undecided,-0.04976303317535545,undecided
1142,1.0,undecided,-0.0071090047393364926,undecided
1143,1.0,undecided,0.0,undecided
1144,1.0,undecided,-0.04265402843601896,undecided
1145,1.0,undecided,-0.009478672985781991,undecided
1146,1.0,undecided,-0.2843601895734597,undecided
1147,1.0,undecided,0.0,undecided
1148,1.0,undecided,0.0,undecided
1149,1.0,undecided,0.0,undecided
1150,1.0,undecided,0.0,undecided
1151,1.0,undecided,0.0,undecided
1152,0.0009765625,decided,-0.13744075829383887,deep
1153,1.0,undecided,0.0,undecided
1154,1.0,undecided,0.0,undecided
1155,1.0,undecided,-0.023696682464454975,undecided
1156,1.0,undecided,0.0,undecided
1157,1.0,undecided,-0.08056872037914692,undecided
1158,1.0,undecided,0.0,undecided
1159,0.0009765625,decided,-0.016587677725118485,deep
1160,1.0,undecided,-0.002369668246445498,undecided
1161,1.0,undecided,-0.037914691943127965,undecided
1162,0.0009765625,decided,-0.009478672985781991,deep
1163,1.0,undecided,-0.4099526066350711,undecided
1164,1.0,undecided,-0.011848341232227487,undecided
1165,1.0,undecided,0.0,undecided
1166,1.0,undecided,0.0,undecided
1167,1.0,undecided,0.0,undecided
1168,1.0,undecided,-0.002369668246445498,undecided
1170,1.0,undecided,0.0,undecided
1171,1.0,undecided,0.0,undecided
1172,1.0,undecided,0.0,undecided
1173,1.0,undecided,-0.0071090047393364926,undecided
1174,1.0,undecided,0.0,undecided
1175,1.0,undecided,0.0,undecided
1176,0.0029296875,decided,-0.002369668246445498,deep
1177,1.0,undecided,0.0,undecided
1178,1.0,undecided,0.0,undecided
1179,1.0,undecided,0.004739336492890995,undecided
1180,1.0,undecided,0.0,undecided
1181,1.0,undecided,0.0,undecided
1182,0.0009765625,decided,0.0971563981042654,shallow
1183,1.0,undecided,0.0,undecided
1184,1.0,undecided,0.0,undecided
1185,1.0,undecided,0.0,undecided
1186,1.0,undecided,0.0,undecided
1187,1.0,undecided,0.0,undecided
1189,1.0,undecided,-0.023696682464454975,undecided
1190,1.0,undecided,0.11374407582938388,undecided
1191,1.0,undecided,0.0,undecided
1192,1.0,undecided,0.0,undecided
1193,1.0,undecided,0.0,undecided
1194,1.0,undecided,0.0,undecided
1195,1.0,undecided,-0.002369668246445498,undecided
1196,1.0,undecided,0.0,undecided
1197,1.0,undecided,0.0,undecided
1198,1.0,undecided,0.0,undecided
1199,1.0,undecided,-0.002369668246445498,undecided
1200,1.0,undecided,0.0,undecided
1201,1.0,undecided,-0.009478672985781991,undecided
1202,1.0,undecided,0.0,undecided
1203,1.0,undecided,0.01658767772511848,undecided
1204,1.0,undecided,-0.014218009478672985,undecided
1205,1.0,undecided,0.0,undecided
1206,0.0009765625,decided,-0.004739336492890996,deep
1207,1.0,undecided,-0.002369668246445498,undecided
1208,0.0009765625,decided,-0.07109004739336493,deep
1209,1.0,undecided,-0.061611374407582936,undecided
1210,0.0029296875,decided,-0.002369668246445498,deep
1211,0.0009765625,decided,-0.02132701421800948,deep
1212,1.0,undecided,0.0,undecided
1213,1.0,undecided,0.0,undecided
1214,1.0,undecided,-0.0071090047393364926,undecided
1215,1.0,undecided,-0.0071090047393364926,undecided
1216,1.0,undecided,-0.061611374407582936,undecided
1217,1.0,undecided,-0.002369668246445498,undecided
1218,1.0,undecided,0.0,undecided
1219,1.0,undecided,0.0,undecided
1220,1.0,undecided,-0.03317535545023697,undecided
1221,0.0029296875,decided,-0.002369668246445498,deep
1222,0.0009765625,decided,-0.04976303317535545,deep
1223,1.0,undecided,0.0,undecided
1224,1.0,undecided,-0.016587677725118485,undecided
1225,1.0,undecided,-0.009478672985781991,undecided
1226,1.0,undecided,-0.0071090047393364926,undecided
1227,1.0,undecided,0.0,undecided
1228,1.0,undecided,0.0,undecided
1229,1.0,undecided,0.0,undecided
1230,1.0,undecided,-0.1018957345971564,undecided
1231,1.0,undecided,-0.004739336492890996,undecided
1232,1.0,undecided,-0.035545023696682464,undecided
1233,1.0,undecided,-0.07582938388625593,undecided
1234,1.0,undecided,0.0,undecided
1235,1.0,undecided,0.0,undecided
1236,1.0,undecided,-0.002369668246445498,undecided
1237,0.9921875,undecided,-0.16824644549763032,undecided
1238,1.0,undecided,0.0,undecided
1239,1.0,undecided,0.0,undecided
1240,1.0,undecided,-0.0995260663507109,undecided
1241,1.0,undecided,-0.004739336492890996,undecided
1242,1.0,undecided,0.0,undecided
1243,1.0,undecided,-0.002369668246445498,undecided
1244,1.0,undecided,-0.054502369668246446,undecided
1245,1.0,undecided,-0.0071090047393364926,undecided
1246,1.0,undecided,-0.0071090047393364926,undecided
1247,0.0009765625,decided,-0.06635071090047394,deep
1248,0.0009765625,decided,-0.009478672985781991,deep
1249,1.0,undecided,0.0,undecided
1250,1.0,undecided,0.0,undecided
1251,1.0,undecided,0.0,undecided
1252,1.0,undecided,-0.018957345971563982,undecided
1253,1.0,undecided,0.0,undecided
1254,0.0009765625,decided,-0.03317535545023697,deep
1255,0.0029296875,decided,-0.007109004739336493,deep
1256,1.0,undecided,-0.0071090047393364926,undecided
1257,1.0,undecided,-0.004739336492890996,undecided
1258,1.0,undecided,0.0,undecided
