id,pvalue,decission,means,vertex_class
346,1.0,undecided,0.0,undecided
398,1.0,undecided,0.0,undecided
451,1.0,undecided,0.0,undecided
480,1.0,undecided,0.0,undecided
488,1.0,undecided,0.0,undecided
490,1.0,undecided,0.0,undecided
526,1.0,undecided,0.0,undecided
537,1.0,undecided,0.0,undecided
540,1.0,undecided,0.0,undecided
602,1.0,undecided,0.0,undecided
616,1.0,undecided,0.0,undecided
666,1.0,undecided,0.0,undecided
682,1.0,undecided,0.0,undecided
683,1.0,undecided,0.0,undecided
685,1.0,undecided,0.0,undecided
688,1.0,undecided,0.0,undecided
690,1.0,undecided,0.0,undecided
691,1.0,undecided,0.0,undecided
692,1.0,undecided,0.0,undecided
693,1.0,undecided,0.0,undecided
694,1.0,undecided,0.0,undecided
696,1.0,undecided,0.0,undecided
697,1.0,undecided,0.0,undecided
698,1.0,undecided,0.0,undecided
699,1.0,undecided,0.0,undecided
700,1.0,undecided,0.0,undecided
701,1.0,undecided,0.0,undecided
702,1.0,undecided,0.0,undecided
703,1.0,undecided,0.0,undecided
704,1.0,undecided,0.0,undecided
705,1.0,undecided,0.0,undecided
706,1.0,undecided,0.0,undecided
707,1.0,undecided,0.0,undecided
708,1.0,undecided,0.0,undecided
709,1.0,undecided,0.0,undecided
710,1.0,undecided,0.0,undecided
711,1.0,undecided,0.0,undecided
712,1.0,undecided,0.0,undecided
713,1.0,undecided,0.0,undecided
714,1.0,undecided,0.0,undecided
715,1.0,undecided,0.0,undecided
716,1.0,undecided,0.0,undecided
717,1.0,undecided,0.0,undecided
718,1.0,undecided,0.0,undecided
719,1.0,undecided,0.0,undecided
720,1.0,undecided,0.0,undecided
721,1.0,undecided,0.0,undecided
722,1.0,undecided,0.0,undecided
723,1.0,undecided,0.0,undecided
724,1.0,undecided,0.0,undecided
725,1.0,undecided,0.0,undecided
726,1.0,undecided,0.0,undecided
727,1.0,undecided,0.0,undecided
728,1.0,undecided,0.0,undecided
729,1.0,undecided,0.0,undecided
730,1.0,undecided,0.0,undecided
731,1.0,undecided,0.0,undecided
732,1.0,undecided,0.0,undecided
733,1.0,undecided,0.0,undecided
734,1.0,undecided,0.0,undecided
735,1.0,undecided,0.0,undecided
736,1.0,undecided,0.0,undecided
737,1.0,undecided,0.0,undecided
738,1.0,undecided,0.0,undecided
739,1.0,undecided,0.0,undecided
740,1.0,undecided,0.0,undecided
741,1.0,undecided,0.0,undecided
742,1.0,undecided,0.0,undecided
743,1.0,undecided,0.0,undecided
744,1.0,undecided,0.0,undecided
745,1.0,undecided,0.0,undecided
747,1.0,undecided,0.0,undecided
748,1.0,undecided,0.0,undecided
749,1.0,undecided,0.0,undecided
750,1.0,undecided,0.0,undecided
751,1.0,undecided,0.0,undecided
752,1.0,undecided,0.0,undecided
753,1.0,undecided,0.0,undecided
754,1.0,undecided,0.0,undecided
755,1.0,undecided,0.0,undecided
756,1.0,undecided,0.0,undecided
757,1.0,undecided,0.0,undecided
758,1.0,undecided,0.0,undecided
759,1.0,undecided,0.0,undecided
760,1.0,undecided,0.0,undecided
761,1.0,undecided,0.0,undecided
762,1.0,undecided,0.0,undecided
763,1.0,undecided,0.0,undecided
764,1.0,undecided,0.0,undecided
765,1.0,undecided,0.0,undecided
766,1.0,undecided,0.0,undecided
767,1.0,undecided,0.0,undecided
768,1.0,undecided,0.0,undecided
769,1.0,undecided,0.0,undecided
770,1.0,undecided,0.0,undecided
771,1.0,undecided,0.0,undecided
772,1.0,undecided,0.0,undecided
773,1.0,undecided,0.0,undecided
774,1.0,undecided,0.0,undecided
775,1.0,undecided,0.0,undecided
776,1.0,undecided,0.0,undecided
777,1.0,undecided,0.0,undecided
778,1.0,undecided,0.0,undecided
779,1.0,undecided,0.0,undecided
780,1.0,undecided,0.0,undecided
781,1.0,undecided,0.0,undecided
782,1.0,undecided,0.0,undecided
783,1.0,undecided,0.0,undecided
784,1.0,undecided,0.0,undecided
785,1.0,undecided,0.0,undecided
786,1.0,undecided,0.0,undecided
787,1.0,undecided,0.0,undecided
788,1.0,undecided,0.0,undecided
789,0.0009765625,decided,-0.6192660550458715,deep
790,1.0,undecided,0.0,undecided
791,1.0,undecided,0.0,undecided
792,1.0,undecided,0.0,undecided
793,1.0,undecided,0.0,undecided
794,1.0,undecided,0.0,undecided
795,1.0,undecided,0.0,undecided
796,1.0,undecided,0.0,undecided
797,1.0,undecided,0.0,undecided
798,1.0,undecided,0.0,undecided
799,1.0,undecided,0.0,undecided
800,1.0,undecided,0.0,undecided
801,1.0,undecided,0.0,undecided
802,1.0,undecided,0.0,undecided
804,1.0,undecided,0.0,undecided
811,1.0,undecided,0.0,undecided
814,1.0,undecided,0.0,undecided
829,1.0,undecided,0.0,undecided
830,1.0,undecided,0.0,undecided
832,1.0,undecided,0.0,undecided
861,1.0,undecided,0.0,undecided
870,1.0,undecided,0.0,undecided
872,1.0,undecided,0.0,undecided
877,1.0,undecided,0.0,undecided
879,1.0,undecided,0.0,undecided
882,1.0,undecided,0.0,undecided
888,1.0,undecided,0.0,undecided
897,1.0,undecided,0.0,undecided
898,1.0,undecided,0.0,undecided
906,1.0,undecided,0.0,undecided
937,1.0,undecided,0.0,undecided
962,1.0,undecided,0.0,undecided
976,1.0,undecided,0.0,undecided
977,1.0,undecided,0.0,undecided
978,1.0,undecided,0.0,undecided
984,1.0,undecided,0.0,undecided
993,1.0,undecided,0.0,undecided
995,1.0,undecided,0.0,undecided
1004,1.0,undecided,0.0,undecided
1011,1.0,undecided,0.0,undecided
1012,1.0,undecided,0.0,undecided
1018,1.0,undecided,0.0,undecided
1033,1.0,undecided,0.0,undecided
1045,1.0,undecided,0.0,undecided
1046,1.0,undecided,0.0,undecided
1071,1.0,undecided,0.0,undecided
1089,1.0,undecided,0.0,undecided
1091,1.0,undecided,0.0,undecided
1092,1.0,undecided,0.0,undecided
1093,1.0,undecided,0.0,undecided
1094,1.0,undecided,0.0,undecided
1095,1.0,undecided,0.0,undecided
1096,1.0,undecided,0.0,undecided
1098,1.0,undecided,0.0,undecided
1099,1.0,undecided,0.0,undecided
1100,1.0,undecided,0.0,undecided
1101,1.0,undecided,0.0,undecided
1102,1.0,undecided,0.0,undecided
1103,1.0,undecided,0.0,undecided
1104,1.0,undecided,0.0,undecided
1105,1.0,undecided,0.0,undecided
1106,1.0,undecided,0.0,undecided
1107,1.0,undecided,0.0,undecided
1108,1.0,undecided,0.0,undecided
1109,1.0,undecided,0.0,undecided
1112,1.0,undecided,0.0,undecided
1113,1.0,undecided,0.0,undecided
1114,1.0,undecided,0.0,undecided
1117,1.0,undecided,0.0,undecided
1118,1.0,undecided,0.0,undecided
1119,1.0,undecided,0.0,undecided
1120,1.0,undecided,0.0,undecided
1121,1.0,undecided,0.0,undecided
1122,1.0,undecided,0.0,undecided
1123,1.0,undecided,0.0,undecided
1124,1.0,undecided,0.0,undecided
1125,1.0,undecided,0.0,undecided
1126,1.0,undecided,0.0,undecided
1127,1.0,undecided,0.0,undecided
1128,1.0,undecided,0.0,undecided
1129,1.0,undecided,0.0,undecided
1130,1.0,undecided,0.0,undecided
1131,1.0,undecided,0.0,undecided
1132,1.0,undecided,0.0,undecided
1133,1.0,undecided,0.0,undecided
1134,1.0,undecided,0.0,undecided
1135,1.0,undecided,0.0,undecided
1136,1.0,undecided,0.0,undecided
1137,1.0,undecided,0.0,undecided
1138,1.0,undecided,0.0,undecided
1139,1.0,undecided,0.0,undecided
1140,1.0,undecided,0.0,undecided
1141,1.0,undecided,0.0,undecided
1142,1.0,undecided,0.0,undecided
1143,1.0,undecided,0.0,undecided
1144,1.0,undecided,0.0,undecided
1145,1.0,undecided,0.0,undecided
1146,1.0,undecided,0.0,undecided
1147,1.0,undecided,0.0,undecided
1148,1.0,undecided,0.0,undecided
1149,1.0,undecided,0.0,undecided
1150,1.0,undecided,0.0,undecided
1151,1.0,undecided,0.0,undecided
1152,1.0,undecided,0.0,undecided
1153,1.0,undecided,0.0,undecided
1154,1.0,undecided,0.0,undecided
1155,1.0,undecided,0.0,undecided
1156,1.0,undecided,0.0,undecided
1157,1.0,undecided,0.0,undecided
1158,1.0,undecided,0.0,undecided
1159,1.0,undecided,0.0,undecided
1160,1.0,undecided,0.0,undecided
1161,1.0,undecided,0.0,undecided
1162,1.0,undecided,0.0,undecided
1163,1.0,undecided,0.0,undecided
1164,1.0,undecided,0.0,undecided
1165,1.0,undecided,0.0,undecided
1166,1.0,undecided,0.0,undecided
1167,1.0,undecided,0.0,undecided
1168,1.0,undecided,0.0,undecided
1170,1.0,undecided,0.0,undecided
1171,1.0,undecided,0.0,undecided
1172,1.0,undecided,0.0,undecided
1173,1.0,undecided,0.0,undecided
1174,1.0,undecided,0.0,undecided
1175,1.0,undecided,0.0,undecided
1176,1.0,undecided,0.0,undecided
1177,1.0,undecided,0.0,undecided
1178,1.0,undecided,0.0,undecided
1179,1.0,undecided,0.0,undecided
1180,1.0,undecided,0.0,undecided
1181,1.0,undecided,0.0,undecided
1182,1.0,undecided,0.0,undecided
1183,1.0,undecided,0.0,undecided
1184,1.0,undecided,0.0,undecided
1185,1.0,undecided,0.0,undecided
1186,1.0,undecided,0.0,undecided
1187,1.0,undecided,0.0,undecided
1189,1.0,undecided,0.0,undecided
1190,1.0,undecided,0.0,undecided
1191,1.0,undecided,0.0,undecided
1192,1.0,undecided,0.0,undecided
1193,1.0,undecided,0.0,undecided
1194,1.0,undecided,0.0,undecided
1195,1.0,undecided,0.0,undecided
1196,1.0,undecided,0.0,undecided
1197,1.0,undecided,0.0,undecided
1198,1.0,undecided,0.0,undecided
1199,1.0,undecided,0.0,undecided
1200,1.0,undecided,0.0,undecided
1201,1.0,undecided,0.0,undecided
1202,1.0,undecided,0.0,undecided
1203,1.0,undecided,0.0,undecided
1204,1.0,undecided,0.0,undecided
1205,1.0,undecided,0.0,undecided
1206,1.0,undecided,0.0,undecided
1207,1.0,undecided,0.0,undecided
1208,1.0,undecided,0.0,undecided
1209,1.0,undecided,0.0,undecided
1210,1.0,undecided,0.0,undecided
1211,1.0,undecided,0.0,undecided
1212,1.0,undecided,0.0,undecided
1213,1.0,undecided,0.0,undecided
1214,1.0,undecided,0.0,undecided
1215,1.0,undecided,0.0,undecided
1216,1.0,undecided,0.0,undecided
1217,1.0,undecided,0.0,undecided
1218,1.0,undecided,0.0,undecided
1219,1.0,undecided,0.0,undecided
1220,1.0,undecided,0.0,undecided
1221,1.0,undecided,0.0,undecided
1222,1.0,undecided,0.0,undecided
1223,1.0,undecided,0.0,undecided
1224,1.0,undecided,0.0,undecided
1225,1.0,undecided,0.0,undecided
1226,1.0,undecided,0.0,undecided
1227,1.0,undecided,0.0,undecided
1228,1.0,undecided,0.0,undecided
1229,1.0,undecided,0.0,undecided
1230,1.0,undecided,0.0,undecided
1231,1.0,undecided,0.0,undecided
1232,1.0,undecided,0.0,undecided
1233,0.0009765625,decided,-0.6834862385321101,deep
1234,1.0,undecided,0.0,undecided
1235,1.0,undecided,0.0,undecided
1236,1.0,undecided,0.0,undecided
1237,1.0,undecided,0.0,undecided
1238,1.0,undecided,0.0,undecided
1239,1.0,undecided,0.0,undecided
1240,1.0,undecided,0.0,undecided
1241,1.0,undecided,0.0,undecided
1242,1.0,undecided,0.0,undecided
1243,1.0,undecided,0.0,undecided
1244,1.0,undecided,0.0,undecided
1245,1.0,undecided,0.0,undecided
1246,1.0,undecided,0.0,undecided
1247,1.0,undecided,0.0,undecided
1248,1.0,undecided,0.0,undecided
1249,1.0,undecided,0.0,undecided
1250,1.0,undecided,0.0,undecided
1251,1.0,undecided,0.0,undecided
1252,1.0,undecided,0.0,undecided
1253,1.0,undecided,0.0,undecided
1254,1.0,undecided,0.0,undecided
1255,1.0,undecided,0.0,undecided
1256,1.0,undecided,0.0,undecided
1257,1.0,undecided,0.0,undecided
1258,1.0,undecided,0.0,undecided
1259,1.0,undecided,0.0,undecided
1260,1.0,undecided,0.0,undecided
1261,1.0,undecided,0.0,undecided
1262,1.0,undecided,0.0,undecided
1263,1.0,undecided,0.0,undecided
1264,1.0,undecided,0.0,undecided
1265,1.0,undecided,0.0,undecided
1266,1.0,undecided,0.0,undecided
1267,1.0,undecided,0.0,undecided
1268,1.0,undecided,0.0,undecided
1269,1.0,undecided,0.0,undecided
1270,1.0,undecided,0.0,undecided
1271,1.0,undecided,0.0,undecided
1272,1.0,undecided,0.0,undecided
1273,1.0,undecided,0.0,undecided
1274,1.0,undecided,0.0,undecided
1275,1.0,undecided,0.0,undecided
1276,1.0,undecided,0.0,undecided
1277,1.0,undecided,0.0,undecided
1278,1.0,undecided,0.0,undecided
1279,1.0,undecided,0.0,undecided
1280,1.0,undecided,0.0,undecided
1281,1.0,undecided,0.0,undecided
1282,1.0,undecided,0.0,undecided
1283,1.0,undecided,0.0,undecided
1284,1.0,undecided,0.0,undecided
1285,1.0,undecided,0.0,undecided
1286,1.0,undecided,0.0,undecided
1287,1.0,undecided,0.0,undecided
1288,1.0,undecided,0.0,undecided
1289,1.0,undecided,0.0,undecided
1290,1.0,undecided,0.0,undecided
1291,1.0,undecided,0.0,undecided
1292,1.0,undecided,0.0,undecided
1293,1.0,undecided,0.0,undecided
1294,1.0,undecided,0.0,undecided
1295,1.0,undecided,0.0,undecided
1296,1.0,undecided,0.0,undecided
1297,1.0,undecided,0.0,undecided
1298,1.0,undecided,0.0,undecided
1299,1.0,undecided,0.0,undecided
1300,1.0,undecided,0.0,undecided
1301,1.0,undecided,0.0,undecided
1302,1.0,undecided,0.0,undecided
1303,1.0,undecided,0.0,undecided
1304,1.0,undecided,0.0,undecided
1305,1.0,undecided,0.0,undecided
1306,1.0,undecided,0.0,undecided
1307,1.0,undecided,0.0,undecided
1308,1.0,undecided,0.0,undecided
1309,1.0,undecided,0.0,undecided
1310,1.0,undecided,0.0,undecided
1311,1.0,undecided,0.0,undecided
1312,1.0,undecided,0.0,undecided
1313,1.0,undecided,0.0,undecided
1314,1.0,undecided,0.0,undecided
1315,1.0,undecided,0.0,undecided
1316,1.0,undecided,0.0,undecided
1317,1.0,undecided,0.0,undecided
1318,1.0,undecided,0.0,undecided
1319,1.0,undecided,0.0,undecided
1320,1.0,undecided,0.0,undecided
1321,1.0,undecided,0.0,undecided
1322,1.0,undecided,0.0,undecided
1323,1.0,undecided,0.0,undecided
1324,1.0,undecided,0.0,undecided
1325,1.0,undecided,0.0,undecided
1327,1.0,undecided,0.0,undecided
1328,1.0,undecided,0.0,undecided
1329,1.0,undecided,0.0,undecided
1330,1.0,undecided,0.0,undecided
1707,1.0,undecided,0.0,undecided
1833,1.0,undecided,0.0,undecided
1874,1.0,undecided,-0.0022935779816513763,undecided
1875,1.0,undecided,0.0,undecided
1912,1.0,undecided,0.0,undecided
1921,1.0,undecided,0.0,undecided
1930,1.0,undecided,0.0,undecided
1938,1.0,undecided,0.0,undecided
1940,1.0,undecided,0.0,undecided
1944,1.0,undecided,0.0,undecided
1956,1.0,undecided,0.0,undecided
1958,1.0,undecided,0.0,undecided
1965,1.0,undecided,0.0,undecided
1978,1.0,undecided,0.0,undecided
1980,1.0,undecided,0.0,undecided
1984,1.0,undecided,0.0,undecided
1985,1.0,undecided,0.0,undecided
1991,1.0,undecided,0.0,undecided
1993,1.0,undecided,0.0,undecided
1995,1.0,undecided,0.0,undecided
1996,1.0,undecided,0.0,undecided
1997,1.0,undecided,0.0,undecided
1998,1.0,undecided,0.0,undecided
1999,1.0,undecided,0.0,undecided
2000,1.0,undecided,0.0,undecided
2001,1.0,undecided,0.0,undecided
2002,1.0,undecided,0.0,undecided
2003,1.0,undecided,0.0,undecided
2004,1.0,undecided,0.0,undecided
2005,1.0,undecided,0.0,undecided
2006,1.0,undecided,0.0,undecided
2007,1.0,undecided,0.0,undecided
2008,1.0,undecided,0.0,undecided
2009,1.0,undecided,0.0,undecided
2010,1.0,undecided,0.0,undecided
2011,1.0,undecided,0.0,undecided
2012,1.0,undecided,0.0,undecided
2013,1.0,undecided,0.0,undecided
2014,1.0,undecided,0.0,undecided
2015,1.0,undecided,0.0,undecided
2016,1.0,undecided,0.0,undecided
2017,1.0,undecided,-0.0022935779816513763,undecided
