Wall time,Step,Value
1668818411.985509,0,0.47482433915138245
1668819232.2747564,10,0.5460683107376099
1668820054.2932243,20,0.5944293737411499
1668820875.484754,30,0.5940884947776794
1668821698.9880528,40,0.5868090391159058
1668822521.6538737,50,0.5955289602279663
1668823343.737434,60,0.6060522794723511
1668824164.0846922,70,0.6114843487739563
1668824984.5352986,80,0.6236900687217712
1668825807.602195,90,0.6247237324714661
1668826633.9205194,100,0.6241849064826965
1668827461.493762,110,0.6320251822471619
1668828280.0741885,120,0.6294630765914917
1668829108.4346058,130,0.6218867301940918
1668829930.926625,140,0.6308815479278564
1668830757.5431607,150,0.6197974681854248
1668831579.8186655,160,0.639348566532135
1668832403.8808067,170,0.6292431354522705
1668833228.2094116,180,0.6324650049209595
1668834049.0249426,190,0.6308155655860901
1668834870.2880929,200,0.6434721350669861
1668835693.29416,210,0.6452975273132324
1668836515.143731,220,0.6307495832443237
1668837334.7436204,230,0.637963056564331
1668838156.2086947,240,0.6333447098731995
