Wall time,Step,Value
1668838974.2862263,0,2.1909477710723877
1668839793.4526105,10,1.5534495115280151
1668840614.8830159,20,1.4687062501907349
1668841434.5833008,30,1.4263920783996582
1668842253.5412576,40,1.4184337854385376
1668843070.379442,50,1.3735357522964478
1668843892.4968212,60,1.3587337732315063
1668844718.0985613,70,1.3636113405227661
1668845536.2143993,80,1.325398564338684
1668846358.7966678,90,1.3207082748413086
1668847176.8613336,100,1.3044737577438354
1668847997.0978832,110,1.3059805631637573
1668848817.272615,120,1.2922956943511963
1668849634.0172343,130,1.2868170738220215
1668850456.6074584,140,1.2795932292938232
1668851273.0873284,150,1.2764248847961426
1668852096.1254148,160,1.276954174041748
1668852916.0199652,170,1.2542997598648071
1668853731.8015804,180,1.2678353786468506
1668854545.600971,190,1.2610552310943604
1668855370.5991592,200,1.258235216140747
1668856194.045977,210,1.2479604482650757
1668857010.4446561,220,1.2373473644256592
1668857829.9395454,230,1.2417058944702148
1668858649.9110854,240,1.2434104681015015
