Wall time,Step,Value
1668743663.2105625,0,2.4729690551757812
1668744673.2624547,10,1.751403570175171
1668745682.4679375,20,1.6233105659484863
1668746691.3073745,30,1.5593509674072266
1668747701.0221455,40,1.5151160955429077
1668748712.4764483,50,1.487862467765808
1668749720.3812315,60,1.4645100831985474
1668750727.2500389,70,1.442840814590454
1668751732.660053,80,1.4315589666366577
1668752736.7107008,90,1.415226697921753
1668753743.377361,100,1.4036030769348145
1668754745.4740202,110,1.3969261646270752
1668755750.9385521,120,1.3828877210617065
1668756754.317976,130,1.3785656690597534
1668757760.5231113,140,1.3652173280715942
1668758765.648864,150,1.3656847476959229
1668759771.2691312,160,1.3519353866577148
1668760775.3106773,170,1.350328803062439
1668761783.0614476,180,1.3508344888687134
1668762789.829018,190,1.3432035446166992
1668763795.4607513,200,1.334194302558899
1668764800.6176763,210,1.3269785642623901
1668765807.944315,220,1.3291088342666626
1668766811.6454065,230,1.3244540691375732
1668767815.9580283,240,1.3190828561782837
